input,time
60,3334
61,4131
62,4132
63,139
64,1906
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,17
16,18
17,27
18,30
19,33
20,36
21,41
22,42
23,43
24,46
25,49
26,50
27,51
28,60
29,63
30,72
31,73
32,74
33,75
34,90
35,91
36,92
37,93
38,94
39,103
40,104
41,127
42,186
43,275
44,528
45,1193
46,1664
47,1871
48,3852
49,5627
50,13504
51,8177
52,12536
53,22729
54,22902
55,34385
56,34386
57,46697
58,758
59,423
60,658
61,427
62,428
63,2231
64,1416
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,73
34,74
35,111
36,260
37,261
38,464
39,943
40,1006
41,1657
42,3838
43,3839
44,6534
45,7489
46,8440
47,8475
48,6320
49,20145
50,113526
51,129383
52,85908
53,117645
54,132714
55,78543
56,95556
57,103089
58,126648
59,173361
60,432
61,329
62,628
63,681
64,1010
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,19
18,20
19,25
20,26
21,27
22,28
23,29
24,30
25,31
26,32
27,33
28,34
29,35
30,36
31,37
32,38
33,39
34,118
35,119
36,122
37,127
38,174
39,351
40,422
41,557
42,806
43,807
44,1366
45,1725
46,3214
47,4263
48,7912
49,8291
50,12478
51,19889
52,19890
53,20391
54,55260
55,54971
56,88058
57,90605
58,181800
59,683135
60,41950
61,44207
62,9414
63,7219
64,56104
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,55
40,56
41,59
42,70
43,73
44,170
45,171
46,182
47,185
48,190
49,319
50,514
51,531
52,852
53,919
54,1352
55,1731
56,1804
57,2093
58,2560
59,2533
60,632
61,607
62,608
63,855
64,128336
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,12
9,13
10,14
11,15
12,16
13,17
14,18
15,19
16,20
17,21
18,22
19,23
20,24
21,25
22,28
23,31
24,32
25,33
26,34
27,35
28,36
29,39
30,40
31,41
32,44
33,45
34,46
35,47
36,48
37,53
38,168
39,173
40,200
41,245
42,250
43,261
44,268
45,99
46,172
47,183
48,244
49,383
50,448
51,449
52,1014
53,739
54,1852
55,3603
56,4174
57,4187
58,256
59,337
60,104316
61,839
62,840
63,2367
64,2972
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,17
14,18
15,19
16,20
17,21
18,22
19,23
20,24
21,25
22,26
23,27
24,28
25,31
26,34
27,37
28,46
29,47
30,48
31,49
32,50
33,49
34,50
35,53
36,54
37,55
38,56
39,85
40,86
41,99
42,148
43,153
44,154
45,155
