input,time
1,167506
2,507259
3,178567
4,137086
5,169086
6,179753
7,320000
8,171061
9,169087
10,210962
11,211753
12,205827
13,240592
14,150123
15,167111
16,148148
17,233877
18,247704
19,180543
20,256000
21,687406
22,499358
23,197135
24,389925
25,406519
26,367407
27,277333
28,284840
29,299852
30,377283
31,379654
32,440493
33,1633579
34,1012937
35,1125135
36,512790
37,1047308
38,987653
39,771950
40,808691
41,1268938
42,1376394
43,2459257
44,2052739
45,6684834
46,553876
47,490271
48,1097085
49,880987
50,2273183
51,1979653
52,4299058
53,3069627
54,2895010
55,3958516
56,7557130
57,6790315
58,1141333
59,1893924
60,1296592
61,389530
62,959999
63,724937
64,2466764
1,5926
2,11852
3,13827
4,7506
5,8691
6,13037
7,9877
8,13432
9,25679
10,15012
11,20148
12,32790
13,39506
14,23704
15,24494
16,23704
17,33580
18,31210
19,28839
20,107457
21,203457
22,37926
23,50173
24,54914
25,29630
26,30024
27,39111
28,37531
29,33581
30,33185
31,32000
32,47012
33,44642
34,39506
35,48987
36,82568
37,1853233
38,105481
39,204247
40,267852
41,291555
42,289975
43,235852
44,559011
45,629332
46,1111703
47,978567
48,1675455
49,2540640
50,5138564
51,5106959
52,5308045
53,422320
54,480790
55,730073
56,797629
57,1005431
58,3627849
59,2460047
60,3206713
61,642370
62,636049
63,383209
64,376493
1,5136
2,7902
3,6716
4,7506
5,28839
6,7901
7,8692
8,7506
9,7506
10,13827
11,13037
12,55309
13,12642
14,13827
15,17777
16,65186
17,26074
18,43852
19,28445
20,18568
21,31605
22,48987
23,33580
24,34766
25,28049
26,44642
27,38321
28,54518
29,24889
30,40296
31,30420
32,48197
33,44246
34,45432
35,57284
36,40692
37,39506
38,48198
39,75852
40,55704
41,43061
42,58074
43,97580
44,76642
45,41877
46,66765
47,61235
48,294321
49,161185
50,488296
51,283654
52,322370
53,412444
54,627753
55,136692
56,146568
57,132741
58,209777
59,353975
60,838320
61,370568
62,303408
63,448000
64,400987
1,11457
2,12642
3,13827
4,14617
5,16987
6,17383
7,15802
8,12642
9,12642
10,21333
11,23309
12,22913
13,24099
14,22913
15,16988
16,35555
17,16987
18,69136
19,28445
20,30024
21,32000
22,34765
23,20938
24,24099
25,23703
26,29630
27,37926
28,26864
29,43062
30,39111
31,25679
32,36345
33,30024
34,39506
35,41481
36,29235
37,52939
38,52544
39,49383
40,60050
41,73876
42,101925
43,72692
44,122074
45,144987
46,150519
47,199506
48,167901
49,195950
50,165136
51,993579
52,3982219
53,2482961
54,4316836
55,7574117
56,14785964
57,8205821
58,21577464
59,70639747
60,1069036
61,1037826
62,3596244
63,1107752
64,1274468
1,12642
2,10271
3,18568
4,12247
5,20543
6,26074
7,26469
8,36741
9,39506
10,41482
11,29630
12,30025
13,38716
14,57284
15,50568
16,49382
17,40691
18,48198
19,39111
20,46617
21,82963
22,79408
23,82963
24,53728
25,54518
26,84543
27,109037
28,100740
29,114173
30,77037
31,206617
32,237827
33,504888
34,368988
35,368987
36,398617
37,523457
38,411654
39,457877
40,529777
41,480789
42,460247
43,557036
44,577580
45,1362172
46,1624097
47,597728
48,914172
49,1142913
50,1730764
51,1668344
52,2642566
53,2516936
54,764838
55,263506
56,345283
57,334222
58,347259
59,485530
60,625777
61,527012
62,696888
63,626962
64,379654
1,15802
2,12247
3,15407
4,15407
5,16197
6,16987
7,30815
8,40296
9,28839
10,29235
11,53334
12,35950
13,38716
14,49383
15,49777
16,60444
17,43457
18,44247
19,70321
20,65975
21,77432
22,52543
23,54519
24,73086
25,348444
26,64790
27,68741
28,135111
29,96395
30,131556
31,160395
32,169877
33,269827
34,120098
35,152493
36,147358
37,279703
38,250469
39,256395
40,319999
41,633678
42,505284
