input,time
63900,240
64000,944
64100,277
64200,220
64300,239
64400,216
64500,232
64600,200
64700,225
64800,209
64900,225
65000,199
65100,223
65200,258
65300,290
65400,207
65500,244
65600,208
65700,250
65800,205
65900,234
66000,208
66100,230
66200,256
66300,228
66400,206
66500,219
66600,211
66700,1142
66800,200
66900,195
67000,241
67100,195
67200,205
67300,205
67400,190
67500,199
67600,202
67700,191
67800,279
67900,246
68000,200
68100,198
68200,293
68300,211
68400,191
68500,206
68600,238
68700,224
68800,241
68900,233
69000,222
69100,217
69200,225
69300,233
69400,228
69500,295
69600,214
69700,216
69800,232
69900,394
70000,362
70100,382
70200,359
70300,343
70400,335
70500,365
70600,383
70700,397
70800,404
70900,410
71000,388
71100,386
71200,416
71300,373
71400,407
71500,353
71600,404
71700,439
71800,404
71900,369
72000,391
72100,358
72200,372
72300,399
72400,398
72500,417
72600,381
72700,407
72800,379
72900,832
73000,549
73100,440
73200,436
73300,456
73400,462
73500,395
73600,360
73700,383
73800,410
73900,398
74000,429
74100,903
74200,513
74300,2208
74400,1042
74500,450
74600,364
74700,339
74800,346
74900,379
75000,378
75100,340
75200,334
75300,364
75400,367
75500,347
75600,366
75700,353
75800,351
75900,350
76000,374
76100,357
76200,345
76300,382
76400,370
76500,374
76600,366
76700,366
76800,9099
76900,409
77000,393
77100,370
77200,360
77300,372
77400,353
77500,360
77600,370
77700,354
77800,356
77900,385
78000,362
78100,377
78200,369
78300,362
78400,401
78500,340
78600,363
78700,350
78800,352
78900,364
79000,374
79100,362
79200,350
79300,367
79400,367
79500,364
79600,357
79700,360
79800,348
79900,360
80000,340
80100,317
80200,142
80300,136
80400,128
80500,107
80600,227
80700,128
80800,108
80900,109
81000,110
81100,146
81200,110
81300,102
81400,112
81500,113
81600,120
81700,120
81800,109
81900,109
82000,116
82100,103
82200,118
82300,111
82400,111
82500,144
82600,113
82700,109
82800,103
82900,116
83000,123
83100,121
83200,117
83300,113
83400,122
83500,106
83600,122
83700,109
83800,110
83900,116
84000,117
84100,105
84200,115
84300,119
84400,105
84500,113
84600,110
84700,119
84800,117
84900,112
85000,106
85100,110
85200,149
85300,95
85400,1308
85500,112
85600,124
85700,108
85800,106
85900,116
86000,112
86100,102
86200,105
86300,119
86400,116
86500,112
86600,120
86700,109
86800,108
86900,113
87000,124
87100,113
87200,112
87300,111
87400,121
87500,108
87600,111
87700,112
87800,107
87900,110
88000,112
88100,122
88200,117
88300,377
88400,97
88500,104
88600,103
88700,95
88800,98
88900,121
89000,122
89100,95
89200,95
89300,112
89400,116
89500,119
89600,138
89700,120
89800,102
89900,115
90000,105
90100,79
90200,68
90300,70
90400,79
90500,70
90600,77
90700,87
90800,80
90900,77
91000,72
91100,79
91200,66
91300,71
91400,75
91500,72
91600,70
91700,70
91800,70
91900,77
92000,78
92100,65
92200,67
92300,87
92400,74
92500,73
92600,65
92700,62
92800,65
92900,69
93000,73
93100,81
93200,68
93300,76
93400,73
93500,73
93600,71
93700,76
93800,63
93900,73
94000,76
94100,970
94200,76
94300,63
94400,58
94500,65
94600,69
94700,66
94800,71
94900,76
95000,73
95100,77
95200,76
95300,79
95400,75
95500,72
95600,77
95700,73
95800,78
95900,69
96000,65
96100,71
96200,73
96300,75
96400,75
96500,79
96600,74
96700,79
96800,80
96900,79
97000,71
97100,71
97200,74
97300,74
97400,78
97500,74
97600,62
97700,63
97800,70
97900,75
98000,66
98100,80
98200,76
98300,78
98400,70
98500,73
98600,64
98700,68
98800,71
98900,74
99000,71
99100,79
99200,77
99300,80
99400,81
99500,78
99600,80
99700,70
99800,64
99900,78
100000,72
100100,64
100200,77
100300,79
100400,79
100500,72
100600,64
100700,79
100800,73
100900,93
101000,79
101100,74
101200,81
101300,76
101400,80
101500,80
101600,81
101700,78
101800,74
101900,80
102000,82
102100,74
102200,71
102300,64
102400,83
102500,80
102600,61
102700,81
102800,82
102900,81
103000,82
103100,81
103200,74
103300,65
103400,61
103500,83
103600,74
103700,64
103800,73
103900,77
104000,82
104100,82
104200,79
104300,75
104400,74
104500,73
104600,77
104700,70
104800,76
104900,77
105000,75
105100,83
105200,79
105300,75
105400,74
105500,83
105600,77
105700,78
105800,78
105900,81
106000,79
106100,73
106200,72
106300,70
106400,79
106500,80
106600,70
106700,73
106800,74
106900,77
107000,72
107100,85
107200,78
107300,77
107400,79
107500,79
107600,76
107700,81
107800,76
107900,103
108000,110
108100,117
108200,78
108300,100
108400,108
108500,127
108600,167
108700,79
108800,92
108900,116
109000,133
109100,111
109200,118
109300,133
109400,80
109500,92
109600,114
109700,125
109800,121
109900,85
110000,92
110100,96
110200,118
110300,101
110400,83
110500,77
110600,98
110700,78
110800,92
110900,110
111000,124
111100,107
111200,112
111300,107
111400,124
111500,98
111600,103
111700,110
111800,103
111900,73
112000,99
112100,97
112200,119
112300,100
112400,102
112500,125
112600,105
112700,128
112800,122
112900,118
113000,104
113100,99
113200,105
113300,103
113400,83
113500,91
113600,88
113700,91
113800,115
113900,109
114000,106
114100,111
114200,110
114300,102
114400,112
114500,115
114600,117
114700,156
114800,121
114900,121
115000,124
115100,104
115200,123
115300,114
115400,111
115500,110
115600,121
115700,120
115800,115
115900,126
116000,92
116100,117
116200,107
116300,121
116400,93
116500,120
116600,124
116700,114
116800,123
116900,119
117000,112
117100,103
117200,107
117300,115
117400,121
117500,83
117600,108
117700,111
117800,81
117900,88
118000,97
118100,118
118200,106
118300,123
118400,125
118500,110
118600,124
118700,110
118800,117
118900,97
119000,133
119100,81
119200,104
119300,93
119400,117
119500,116
119600,111
119700,113
119800,107
119900,122
120000,116
120100,76
120200,92
120300,96
120400,114
120500,120
120600,76
120700,73
120800,79
120900,110
121000,102
121100,125
121200,116
121300,81
121400,78
121500,78
121600,99
121700,105
121800,126
121900,120
122000,109
122100,81
122200,68
122300,65
122400,79
122500,74
122600,90
122700,92
122800,110
122900,113
123000,125
123100,113
123200,101
123300,112
123400,79
123500,103
123600,120
123700,78
123800,106
123900,97
124000,131
124100,136
124200,117
124300,112
124400,114
124500,119
124600,105
124700,117
124800,122
124900,109
125000,130
125100,123
125200,119
125300,129
125400,109
125500,122
125600,110
125700,116
125800,91
125900,125
126000,113
126100,117
126200,106
126300,115
126400,135
126500,123
126600,107
126700,121
126800,121
126900,120
127000,79
127100,101
127200,89
127300,121
127400,107
127500,117
127600,108
127700,77
127800,91
127900,97
128000,110
128100,104
128200,103
128300,106
128400,117
128500,127
128600,106
128700,82
128800,112
128900,107
129000,109
129100,123
129200,103
129300,100
129400,118
129500,116
129600,131
129700,119
129800,85
129900,106
130000,102
130100,116
130200,116
130300,119
130400,119
130500,119
130600,104
130700,121
130800,121
130900,83
131000,103
131100,94
131200,100
131300,101
131400,83
131500,92
131600,88
131700,116
131800,121
131900,111
132000,116
132100,102
132200,126
132300,120
132400,130
132500,106
132600,117
132700,115
132800,130
132900,117
133000,118
133100,81
133200,94
133300,121
133400,105
133500,112
133600,106
133700,113
