input,time
100,2696
101,2462
102,2465
103,2438
104,2895
105,2589
106,2523
107,2771
108,2931
109,2866
110,3289
111,2807
112,3363
113,3100
114,3407
115,3042
116,3332
117,3422
118,3343
119,3846
120,3563
121,3662
122,3904
123,3981
124,3993
125,3476
126,3614
127,4249
128,4117
129,3898
130,4278
131,3931
132,4014
133,4178
134,4474
135,4865
136,4397
137,4978
138,4375
139,4514
140,5297
141,5049
142,4908
143,5638
144,5144
145,5068
146,4948
147,5278
148,5038
149,5553
150,5376
151,6152
152,5509
153,6333
154,6311
155,5752
156,6031
157,5996
158,5962
159,6179
160,6285
161,6381
162,6491
163,6319
164,6621
165,7414
166,6373
167,7252
168,7233
169,6930
170,7262
171,7397
172,7538
173,7536
174,6939
175,7458
176,7342
177,7674
178,8288
179,8318
180,7893
181,7869
182,8604
183,8389
184,8590
185,8123
186,9303
187,8233
188,9182
189,8623
190,9329
191,8630
192,9322
193,9798
194,9146
195,9379
196,9718
197,9222
198,10955
199,9654
200,9744
201,10178
202,10140
203,9370
204,9402
205,10688
206,10304
207,10269
208,9760
209,10510
210,11030
211,11510
212,10896
213,11307
214,11700
215,12093
216,12156
217,11922
218,12246
219,11812
220,11852
221,12604
222,12646
223,12587
224,12239
225,12792
226,13501
227,13163
228,12975
229,12789
230,13645
231,14118
232,12760
233,12840
234,13133
235,13418
236,14512
237,13796
238,15302
239,14248
240,14516
241,15558
242,14271
243,14653
244,14299
245,13876
246,14806
247,14808
248,16282
249,15340
250,14537
251,15385
252,15964
253,16565
254,16774
255,16346
256,16479
257,17262
258,16545
259,16444
260,15800
261,16332
262,17546
263,16113
264,17553
265,16312
266,17303
267,16918
268,17880
269,18854
270,18132
271,18931
272,19717
273,17833
274,19421
275,18075
276,18465
277,19907
278,19245
279,18829
280,19499
281,20744
282,19996
283,19833
284,19582
285,18485
286,20665
287,20457
288,19938
289,22365
290,21792
291,21165
292,20789
293,22549
294,20728
295,21720
296,20739
297,22320
298,21043
299,22382
300,21584
301,21396
302,21070
303,22181
304,23968
305,22560
306,24319
307,23449
308,23419
309,24911
310,24215
311,24055
312,24780
313,25230
314,25136
315,23883
316,25394
317,24222
318,25363
319,24462
320,24335
321,26859
322,26640
323,23762
324,25577
325,27296
326,28210
327,27316
328,25002
329,28251
330,27378
331,26103
332,26181
333,27248
334,27443
335,28113
336,27448
337,28266
338,30485
339,26166
340,29678
341,27972
342,30140
343,28586
344,26854
345,29322
346,29992
347,29555
348,30309
349,29800
350,31506
351,31129
352,30324
353,30587
354,32626
355,32455
356,30777
357,32362
358,30133
359,31368
360,32282
361,31892
362,34302
363,32282
364,30502
365,32821
366,35395
367,33649
368,33282
369,33323
370,34189
371,35509
372,33711
373,33756
374,35963
375,35802
376,35439
377,36432
378,37173
379,36078
380,34344
381,37073
382,38527
383,36650
384,38286
385,36356
386,37346
387,38185
388,36668
389,38246
390,37455
391,36874
392,38337
393,39700
394,38414
395,37157
396,37785
397,39916
398,38054
399,39167
400,40001
401,40598
402,39280
403,38423
404,40044
405,38435
406,40132
407,38926
408,39288
409,41938
410,42547
411,41558
412,41327
413,42577
414,39532
415,42803
416,43075
417,44270
418,40628
419,43009
420,44872
421,43819
422,46682
423,45521
424,43858
425,45733
426,45490
427,42760
428,46514
429,45745
430,43228
431,47875
432,44796
433,45378
434,48163
435,44357
436,47375
437,48569
438,45895
439,48870
440,48394
441,49136
442,51472
443,47788
444,47465
445,45607
446,48894
447,52222
448,50093
449,49656
450,51769
451,49816
452,51357
453,50564
454,50352
455,53795
456,46842
457,51369
458,49004
459,50483
460,51833
461,53268
462,53100
463,55743
464,53653
465,56090
466,53142
467,53217
468,55388
469,55607
470,56363
471,56315
472,54523
473,54151
474,54354
475,55203
476,55311
477,56391
478,53836
479,58948
480,58952
481,55725
482,55332
483,57884
484,60246
485,60240
486,58381
487,60174
488,59674
489,59241
490,61322
491,58346
492,62128
493,59153
494,65556
495,59408
496,59095
497,58475
498,61976
499,60977
500,64198
501,61727
502,58374
503,61715
504,59582
505,63222
506,62193
507,63008
508,65045
509,60958
510,62228
511,69591
512,64681
513,66602
514,64496
515,66636
516,64829
517,68229
518,66378
519,66653
520,68512
521,64050
522,67965
523,68736
524,69521
525,69631
526,68060
527,64035
528,69384
529,73190
530,65900
531,69047
532,71816
533,75682
534,71587
535,73389
536,71392
537,69746
538,71246
539,73036
540,68466
541,73405
542,72784
543,75109
544,77184
545,75843
546,73992
547,72264
548,74457
549,75635
550,78737
551,73092
552,78064
553,76486
554,72096
555,78045
556,79354
557,75102
558,77509
559,78066
560,76907
561,79105
562,79868
563,78822
564,78551
565,77795
566,78181
567,80381
568,81823
569,80250
570,79322
571,80206
572,83553
573,81522
574,77775
575,81038
576,86546
577,82664
578,83042
579,81726
580,86621
581,84239
582,83311
583,78316
584,89088
585,82611
586,83152
587,83845
588,85423
589,87209
