input,time
100,4895
101,4972
102,5106
103,5133
104,5341
105,5307
106,5529
107,5616
108,5742
109,5850
110,5842
111,5934
112,6096
113,6223
114,6438
115,6402
116,6664
117,6758
118,6783
119,7015
120,7062
121,7124
122,7303
123,7448
124,7548
125,7729
126,7685
127,7923
128,8113
129,8250
130,8330
131,8500
132,8555
133,8478
134,8701
135,9035
136,8855
137,9211
138,9438
139,9455
140,9559
141,9617
142,9990
143,10132
144,10218
145,10320
146,10557
147,10665
148,10602
149,11011
150,10965
151,11310
152,11385
153,11550
154,11745
155,11844
156,11970
157,12093
158,12232
159,12371
160,12684
161,12627
162,12996
163,12768
164,13213
165,13475
166,13692
167,13846
168,13838
169,14190
170,14175
171,14235
172,14685
173,14707
174,14931
175,15054
176,15334
177,15485
178,15725
179,15865
180,15810
181,16235
182,16261
183,16598
184,16665
185,16720
186,17169
187,17220
188,17572
189,17688
190,17877
191,17767
192,18291
193,18507
194,18550
195,18705
196,18957
197,19096
198,19448
199,19646
200,19710
201,19869
202,20235
203,20458
204,20210
205,20739
206,20839
207,21068
208,21375
209,21460
210,21930
211,22134
212,22230
213,22557
214,22713
215,22477
216,22895
217,23381
218,23587
219,23618
220,23739
221,24295
222,24360
223,24675
224,24856
225,25029
226,25334
227,25650
228,25878
229,26106
230,26257
231,26550
232,26586
233,27013
234,27195
235,27467
236,27702
237,27470
238,27972
239,28188
240,27777
241,28569
242,29140
243,29283
244,29643
245,29394
246,30099
247,30290
248,30457
249,30785
250,31097
251,31144
252,31098
253,31812
254,32011
255,32109
256,32637
257,32818
258,33017
259,32850
260,33460
261,33495
262,33938
263,34047
264,34580
265,34749
266,35190
267,35456
268,35750
269,35941
270,36270
271,35882
272,36801
273,36567
274,37248
275,36772
276,37170
277,38036
278,38497
279,38736
280,38924
281,39235
282,39600
283,39750
284,40183
285,39767
286,40545
287,40635
288,40733
289,41525
290,41890
291,41895
292,42315
293,42400
294,43026
295,43260
296,43650
297,43550
298,44243
299,44431
300,44829
301,44897
302,45151
303,45563
304,46046
305,46240
306,46434
307,46935
308,46953
309,47151
310,47817
311,48195
312,47988
313,48503
314,49063
315,49130
316,49650
317,49590
318,49662
319,50445
320,50995
321,51170
322,51330
323,51898
324,52281
325,52479
326,52447
327,52521
328,53492
329,53953
330,54180
331,54587
332,54646
333,55068
334,54621
335,55867
336,56090
337,56265
338,56488
339,57015
340,57102
341,57694
342,58035
343,57912
344,58930
345,59274
346,59360
347,59860
348,60300
349,60590
350,60865
351,60479
352,61311
353,62037
354,61740
355,61560
356,62980
357,63315
358,63858
359,63271
360,64449
361,64749
362,64990
363,65702
364,65975
365,66325
366,66750
367,66696
368,67408
369,67818
370,68199
371,68139
372,68706
373,69027
374,69580
375,69459
376,70224
377,70600
378,71208
379,71400
380,72000
381,72324
382,72365
383,73048
384,73365
385,73815
386,73402
387,74366
388,74375
389,75141
390,75075
391,76154
392,76465
393,75900
394,77211
395,77035
396,77910
397,78011
398,78652
399,78905
400,79059
401,79672
402,80136
403,80625
404,81081
405,81557
406,81984
407,82555
408,82857
409,83136
410,83767
411,83930
412,84546
413,84973
414,85085
415,85899
416,85690
417,86301
418,86775
419,87505
420,87969
421,87849
422,88810
423,89043
424,89046
425,89635
426,88985
427,90761
428,91342
429,91065
430,91374
431,92434
432,92661
433,93450
434,92833
435,93360
436,94739
437,95211
438,95238
439,95816
440,96475
441,96492
442,97440
443,97342
444,98325
445,98439
446,99169
447,98355
448,100092
449,100531
450,100997
451,101370
452,101695
453,102357
454,102480
455,102789
456,103620
457,103896
458,104188
459,103935
460,105504
461,105994
462,105711
463,106547
464,107413
465,107802
466,107679
467,107776
468,108843
469,109368
470,110062
471,110630
472,110985
473,111328
474,111281
