input,time
10,1
110,0
210,1
310,2
410,1
510,0
610,1
710,1
810,1
910,1
1010,2
1110,3
1210,2
1310,3
1410,2
1510,2
1610,3
1710,2
1810,3
1910,3
2010,4
2110,3
2210,3
2310,3
2410,4
2510,3
2610,4
2710,4
2810,5
2910,3
3010,3
3110,4
3210,4
3310,4
3410,5
3510,4
3610,5
3710,12
3810,6
3910,5
4010,5
4110,5
4210,10
4310,9
4410,10
4510,8
4610,8
4710,8
4810,9
4910,8
5010,55
5110,8
5210,6
5310,7
5410,8
5510,9
5610,9
5710,9
5810,9
5910,9
6010,9
6110,9
6210,9
6310,11
6410,14
6510,9
6610,9
6710,10
6810,9
6910,9
7010,9
7110,10
7210,9
7310,9
7410,11
7510,12
7610,10
7710,10
7810,10
7910,11
8010,12
8110,13
8210,13
8310,5
8410,5
8510,7
8610,7
8710,8
8810,6
8910,6
9010,6
9110,6
9210,6
9310,7
9410,6
9510,7
9610,7
9710,7
9810,6
9910,10
10010,10
10110,9
10210,7
10310,8
10410,8
10510,7
10610,11
10710,8
10810,9
10910,8
11010,9
11110,8
11210,8
11310,8
11410,8
11510,7
11610,7
11710,8
11810,8
11910,9
12010,8
12110,8
12210,11
12310,9
12410,9
12510,9
12610,9
12710,9
12810,9
12910,9
13010,10
13110,9
13210,10
13310,12
13410,12
13510,14
13610,10
13710,11
13810,11
13910,10
14010,10
14110,11
14210,12
14310,11
14410,12
14510,11
14610,12
14710,14
14810,12
14910,11
