input,time
10,1
110,0
210,2
310,1
410,2
510,1
610,1
710,2
810,1
910,1
1010,1
1110,1
1210,1
1310,1
1410,1
1510,1
1610,1
1710,1
1810,2
1910,1
2010,1
2110,2
2210,2
2310,1
2410,1
2510,1
2610,1
2710,2
2810,2
2910,2
3010,2
3110,2
3210,2
3310,2
3410,3
3510,2
3610,3
3710,3
3810,3
3910,3
4010,3
4110,3
4210,3
4310,3
4410,3
4510,4
4610,3
4710,3
4810,3
4910,4
5010,5
5110,5
5210,5
5310,4
5410,5
5510,8
5610,5
5710,4
5810,3
5910,4
6010,4
6110,4
6210,4
6310,4
6410,4
6510,5
6610,5
6710,4
6810,5
6910,5
7010,6
7110,5
7210,5
7310,7
7410,6
7510,7
7610,7
7710,7
7810,7
7910,8
8010,6
8110,9
8210,9
8310,8
8410,6
8510,7
8610,10
8710,8
8810,4
8910,4
9010,5
9110,4
9210,4
9310,5
9410,5
9510,5
9610,4
9710,5
9810,4
9910,4
10010,5
10110,5
10210,7
10310,7
10410,7
10510,9
10610,6
10710,5
10810,5
10910,5
11010,6
11110,6
11210,6
11310,6
11410,6
11510,7
11610,6
11710,6
11810,6
11910,5
12010,6
12110,6
12210,6
12310,9
12410,7
12510,7
12610,9
12710,7
12810,7
12910,6
13010,7
13110,6
13210,7
13310,7
13410,8
13510,7
13610,8
13710,8
13810,7
13910,8
14010,8
14110,7
14210,7
14310,9
14410,8
14510,9
14610,9
14710,9
14810,9
14910,9
