input,time
10,2
110,0
210,2
310,3
410,1
510,2
610,3
710,2
810,3
910,4
1010,4
1110,6
1210,7
1310,7
1410,9
1510,10
1610,12
1710,14
1810,14
1910,15
2010,18
2110,19
2210,21
2310,23
2410,26
2510,28
2610,31
2710,34
2810,37
2910,40
3010,42
3110,43
3210,46
3310,49
3410,54
3510,57
3610,62
3710,60
3810,64
3910,67
4010,70
4110,73
4210,77
4310,83
4410,87
4510,95
4610,99
4710,101
4810,102
4910,108
5010,113
5110,126
5210,128
5310,132
5410,126
5510,134
5610,142
5710,146
5810,146
5910,152
6010,170
6110,172
6210,178
6310,173
6410,188
6510,189
6610,194
6710,206
6810,240
6910,214
7010,211
7110,234
7210,236
7310,246
7410,250
7510,250
7610,263
7710,273
7810,281
7910,282
8010,287
8110,292
8210,308
8310,311
8410,322
8510,324
8610,335
8710,342
8810,346
8910,371
9010,358
9110,358
9210,367
9310,378
9410,389
9510,391
9610,404
9710,410
9810,418
9910,430
10010,441
10110,445
10210,453
10310,463
10410,470
10510,481
10610,490
10710,499
10810,507
10910,517
11010,528
11110,537
11210,544
11310,557
11410,565
11510,578
11610,586
11710,593
11810,606
11910,619
12010,630
12110,631
12210,650
12310,664
12410,671
12510,681
12610,690
12710,715
12810,716
12910,730
13010,741
13110,752
13210,758
13310,778
13410,782
13510,797
13610,811
13710,824
13810,840
13910,846
14010,860
14110,871
14210,885
14310,901
14410,907
14510,924
14610,931
14710,942
14810,971
14910,971
