input,time
10,0
110,1
210,1
310,1
410,1
510,1
610,1
710,7
810,2
910,2
1010,3
1110,5
1210,4
1310,4
1410,5
1510,6
1610,7
1710,8
1810,9
1910,10
2010,13
2110,11
2210,12
2310,14
2410,14
2510,15
2610,17
2710,18
2810,19
2910,20
3010,22
3110,25
3210,26
3310,27
3410,28
3510,30
3610,32
3710,36
3810,35
3910,36
4010,38
4110,38
4210,43
4310,42
4410,46
4510,49
4610,50
4710,55
4810,54
4910,55
5010,58
5110,60
5210,61
5310,63
5410,65
5510,67
5610,70
5710,73
5810,76
5910,78
6010,80
6110,84
6210,87
6310,90
6410,92
6510,94
6610,97
6710,103
6810,103
6910,106
7010,109
7110,114
7210,117
7310,120
7410,122
7510,125
7610,128
7710,133
7810,134
7910,139
8010,145
8110,147
8210,151
8310,154
8410,157
8510,160
8610,166
8710,169
8810,171
8910,179
9010,183
9110,184
9210,190
9310,193
9410,198
9510,202
9610,206
9710,210
9810,212
9910,218
10010,221
10110,227
10210,231
10310,237
10410,243
10510,248
10610,246
10710,253
10810,260
10910,263
11010,270
11110,276
11210,280
11310,284
11410,292
11510,294
11610,300
11710,302
11810,304
11910,317
12010,318
12110,329
12210,333
12310,337
12410,342
12510,347
12610,356
12710,363
12810,359
12910,372
13010,379
13110,385
13210,386
13310,389
13410,401
13510,408
13610,411
13710,414
13810,421
13910,430
14010,436
14110,442
14210,446
14310,459
14410,460
14510,465
14610,468
14710,483
14810,486
14910,496
