input,time
533000,535980
534000,491393
535000,477708
536000,359974
537000,565149
538000,364379
539000,488737
540000,473555
541000,595183
542000,511900
543000,589591
544000,427614
545000,574000
546000,543890
547000,748933
548000,501438
549000,562484
550000,634048
551000,584130
552000,487084
553000,611671
554000,553229
555000,524509
556000,576028
557000,529452
558000,540575
559000,531737
560000,516244
561000,588554
562000,590255
563000,556433
564000,733864
565000,560256
566000,548589
567000,561972
568000,953479
569000,788370
570000,554300
571000,554329
572000,510437
573000,566534
574000,577475
575000,561521
576000,542320
577000,570626
578000,544630
579000,575020
580000,642576
581000,586207
582000,835158
583000,520479
584000,966352
585000,638719
586000,629204
587000,604516
588000,592141
589000,652208
590000,590963
591000,652659
592000,611999
593000,613514
594000,634362
595000,661420
596000,610180
597000,679251
598000,618562
599000,623736
600000,564533
601000,855281
602000,578765
603000,702692
604000,600495
605000,780782
606000,649851
607000,746831
608000,738327
609000,510093
610000,654076
611000,559315
612000,656850
613000,613752
614000,669500
615000,658980
616000,662322
617000,700719
618000,528938
619000,704866
620000,687144
621000,992949
622000,691827
623000,638699
624000,873822
625000,700068
626000,793724
627000,723374
628000,737775
629000,718232
630000,678274
631000,702350
632000,752318
633000,693173
634000,714238
635000,707067
636000,644526
637000,714417
638000,703805
639000,716769
640000,589731
641000,732031
642000,613278
643000,856561
644000,786916
645000,714879
646000,727695
647000,608523
648000,740890
649000,868604
650000,747731
651000,869085
652000,950880
653000,730544
654000,788173
655000,677068
656000,750571
657000,772145
658000,820230
659000,778213
660000,794687
661000,723680
662000,768455
663000,870125
664000,765317
665000,773881
666000,778294
667000,774600
668000,936021
669000,776390
670000,1008023
671000,927845
672000,1004902
673000,758578
674000,948100
675000,795261
676000,1156442
677000,804350
678000,792172
679000,767227
680000,830481
681000,702092
682000,831283
683000,807118
684000,805753
685000,878381
686000,825697
687000,766021
688000,711342
689000,687598
690000,911342
691000,823702
692000,851198
693000,882440
694000,889283
695000,831279
696000,762628
697000,942583
698000,910120
699000,842999
700000,864849
701000,786033
702000,841450
703000,868372
704000,853454
705000,864310
706000,914199
707000,856745
708000,870112
709000,864216
710000,841407
711000,1077043
712000,867820
713000,882542
714000,898398
715000,827092
716000,1029747
717000,882116
718000,880864
719000,760472
720000,890766
721000,969888
722000,895514
723000,1075906
724000,922913
725000,904957
726000,852050
727000,772522
728000,906922
729000,859063
730000,913431
731000,909481
732000,906787
733000,981879
734000,926446
735000,1046698
736000,948244
737000,934820
738000,1197656
739000,837089
